Rang,Spanisch,Deutsch,Wortart
1,ser,sein (dauerhafte Eigenschaft),Verb
2,estar,"sein (Zustand, Ort)",Verb
3,tener,haben,Verb
4,hacer,"machen, tun",Verb
5,ir,"gehen, fahren",Verb
6,poder,können,Verb
7,decir,sagen,Verb
8,haber,"haben (Hilfsverb), es gibt",Verb
9,ver,sehen,Verb
10,querer,"wollen, lieben",Verb
11,saber,wissen,Verb
12,llegar,ankommen,Verb
13,pasar,"passieren, vorbeigehen",Verb
14,deber,"müssen, sollen, schulden",Verb
15,poner,"setzen, stellen, legen",Verb
16,parecer,"scheinen, wirken",Verb
17,quedar,"bleiben, sich verabreden",Verb
18,creer,glauben,Verb
19,hablar,sprechen,Verb
20,llevar,"tragen, mitnehmen",Verb
21,dejar,"lassen, verlassen",Verb
22,seguir,"folgen, weitermachen",Verb
23,encontrar,finden,Verb
24,llamar,"rufen, anrufen",Verb
25,venir,kommen,Verb
26,pensar,denken,Verb
27,salir,"ausgehen, hinausgehen",Verb
28,volver,zurückkehren,Verb
29,tomar,"nehmen, trinken",Verb
30,conocer,kennen (Personen/Orte),Verb
31,vivir,"leben, wohnen",Verb
32,sentir,fühlen,Verb
33,tratar,"versuchen, behandeln",Verb
34,mirar,"schauen, ansehen",Verb
35,contar,"zählen, erzählen",Verb
36,empezar,anfangen,Verb
37,esperar,"warten, hoffen",Verb
38,buscar,suchen,Verb
39,existir,existieren,Verb
40,entrar,"eintreten, hineingehen",Verb
41,trabajar,arbeiten,Verb
42,escribir,schreiben,Verb
43,perder,verlieren,Verb
44,producir,produzieren,Verb
45,ocurrir,geschehen,Verb
46,entender,verstehen,Verb
47,pedir,"bitten, bestellen",Verb
48,recibir,"erhalten, bekommen",Verb
49,recordar,erinnern,Verb
50,terminar,beenden,Verb
51,permitir,erlauben,Verb
52,aparecer,erscheinen,Verb
53,conseguir,"erreichen, bekommen",Verb
54,comenzar,beginnen,Verb
55,servir,dienen,Verb
56,sacar,"herausholen, nehmen",Verb
57,necesitar,brauchen,Verb
58,mantener,"erhalten, pflegen",Verb
59,resultar,"ergeben, resultieren",Verb
60,leer,lesen,Verb
61,caer,fallen,Verb
62,cambiar,"ändern, wechseln",Verb
63,presentar,"vorstellen, präsentieren",Verb
64,crear,erschaffen,Verb
65,abrir,öffnen,Verb
66,considerar,"betrachten, erwägen",Verb
67,oír,hören,Verb
68,acabar,beenden (gerade etwas getan haben),Verb
69,convertir,verwandeln,Verb
70,ganar,"gewinnen, verdienen",Verb
71,formar,bilden,Verb
72,traer,"bringen, herholen",Verb
73,partir,"teilen, abfahren",Verb
74,morir,sterben,Verb
75,aceptar,akzeptieren,Verb
76,realizar,"durchführen, verwirklichen",Verb
77,suponer,vermuten,Verb
78,comprender,"verstehen, umfassen",Verb
79,lograr,"schaffen, erreichen",Verb
80,explicar,erklären,Verb
81,preguntar,fragen,Verb
82,tocar,"berühren, spielen (Instrument)",Verb
83,reconocer,"erkennen, anerkennen",Verb
84,estudiar,"lernen, studieren",Verb
85,alcanzar,erreichen,Verb
86,nacer,geboren werden,Verb
87,dirigir,"leiten, führen",Verb
88,correr,"rennen, laufen",Verb
89,utilizar,benutzen,Verb
90,pagar,bezahlen,Verb
91,ayudar,helfen,Verb
92,gustar,"gefallen, mögen",Verb
93,jugar,spielen,Verb
94,escuchar,zuhören,Verb
95,cumplir,"erfüllen, Geburtstag haben",Verb
96,ofrecer,anbieten,Verb
97,descubrir,entdecken,Verb
98,levantar,"heben, aufstehen",Verb
99,intentar,versuchen,Verb
100,usar,benutzen,Verb
